ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,ENTREZID,description
ENSMUSG00000013076,52.78022410533612,-1.9652277933996964,0.3575238419913067,-5.496774096110439,3.8680168671407105e-8,6.500326350447911e-4,Amotl1,75723,angiomotin-like 1 [Source:MGI Symbol;Acc:MGI:1922973]
ENSMUSG00000064345,42040.671869705955,1.3652674465803962,0.2848163631118932,4.793500737329604,1.6389585662501705e-6,0.010014583159310624,mt-Nd2,17717,mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500]
ENSMUSG00000037161,177.23804265927367,2.023467695996179,0.42885185140454923,4.7183373217791695,2.3777999647161856e-6,0.0108968627883031,Mgarp,67749,mitochondria localized glutamic acid rich protein [Source:MGI Symbol;Acc:MGI:1914999]
ENSMUSG00000028965,16568.5387573691,0.7909158372443277,0.17773570044309614,4.449954822090159,8.588835496712047e-6,0.028638251610872686,Tnfrsf9,21942,"tumor necrosis factor receptor superfamily, member 9 [Source:MGI Symbol;Acc:MGI:1101059]"
ENSMUSG00000024181,438.43155997336754,-1.3553231122548,0.3058634471447073,-4.431137897996624,9.373711726869026e-6,0.028638251610872686,Mrpl28,68611,mitochondrial ribosomal protein L28 [Source:MGI Symbol;Acc:MGI:1915861]
ENSMUSG00000073421,361.3376352182537,1.0267684331391729,0.2338203169690009,4.391271239595908,1.1268985672758375e-5,0.02951025376676197,H2-Ab1,14961,"histocompatibility 2, class II antigen A, beta 1 [Source:MGI Symbol;Acc:MGI:103070]"
ENSMUSG00000029162,131.20667850930064,1.0394779402911367,0.23935105986605043,4.342900929174354,1.406135538468414e-5,0.03221983819458062,Khk,16548,ketohexokinase [Source:MGI Symbol;Acc:MGI:1096353]
ENSMUSG00000006494,1758.3357706258657,0.6410050408425205,0.1499808081899873,4.273913766556927,1.9207134522135494e-5,0.03520859829252657,Pdk1,228026,"pyruvate dehydrogenase kinase, isoenzyme 1 [Source:MGI Symbol;Acc:MGI:1926119]"
ENSMUSG00000022385,1779.4521667515955,-0.7117812103355274,0.16615146591558846,-4.283929765008155,1.8362089862768527e-5,0.03520859829252657,Gtse1,29870,G two S phase expressed protein 1 [Source:MGI Symbol;Acc:MGI:1352755]
